ID,X,Y,LogPos
302,455,1147,I108-18
303,455,1182,I108-19
304,455,1218,I108-20
305,455,1253,I108-21
306,419,1040,I108-22
307,419,1076,I108-23
308,419,1111,I108-24
309,419,1147,I108-25
310,419,1182,I108-26
311,419,1218,I108-27
312,419,1253,I108-28
313,384,1040,I108-29
314,384,1076,I108-30
315,384,1111,I108-31
316,384,1147,I108-32
317,384,1182,I108-33
318,384,1218,I108-34
319,384,1253,I108-35
320,348,1040,I108-36
321,348,1076,I108-37
322,348,1111,I108-38
323,348,1147,I108-39
324,348,1182,I108-40
325,348,1218,I108-41
326,348,1253,I108-42
327,276,1039,I109-1
328,276,1074,I109-2
329,276,1109,I109-3
330,276,1145,I109-4
331,276,1180,I109-5
332,276,1216,I109-6
333,276,1251,I109-7
334,240,1039,I109-8
335,240,1074,I109-9
336,240,1109,I109-10
337,240,1145,I109-11
338,240,1180,I109-12
339,240,1216,I109-13
340,240,1251,I109-14
341,205,1075,I109-15
342,205,1111,I109-16
343,205,1146,I109-17
344,205,1182,I109-18
345,205,1217,I109-19
346,205,1253,I109-20
347,169,1075,I109-21
348,169,1111,I109-22
349,169,1146,I109-23
350,169,1182,I109-24
351,169,1217,I109-25
352,169,1253,I109-26
353,134,1075,I109-27
354,134,1111,I109-28
355,134,1146,I109-29
356,134,1182,I109-30
357,134,1217,I109-31
358,134,1253,I109-32
359,98,1075,I109-33
360,98,1111,I109-34
361,98,1146,I109-35
362,98,1182,I109-36
363,98,1217,I109-37
364,98,1253,I109-38
365,180,272,J103-1
366,180,234,J103-2
367,180,201,J103-3
368,180,165,J103-4
369,180,130,J103-5
370,180,94,J103-6
371,219,272,J103-7
372,219,234,J103-8
373,219,201,J103-9
374,219,165,J103-10
375,219,130,J103-11
376,219,94,J103-12
377,254,272,J103-13
378,254,234,J103-14
379,254,201,J103-15
380,254,165,J103-16
381,254,130,J103-17
382,254,94,J103-18
383,290,272,J103-19
384,290,234,J103-20
385,290,201,J103-21
386,290,165,J103-22
387,290,130,J103-23
388,290,94,J103-24
389,325,272,J103-25
390,325,234,J103-26
391,325,201,J103-27
392,325,165,J103-28
393,325,130,J103-29
394,325,94,J103-30
395,361,272,J103-31
396,361,234,J103-32
397,361,201,J103-33
398,361,165,J103-34
399,361,130,J103-35
400,361,94,J103-36
401,396,272,J103-37
402,396,234,J103-38
403,396,201,J103-39
404,396,165,J103-40
405,396,130,J103-41
406,396,94,J103-42
407,432,272,J103-43
408,432,234,J103-44
409,432,201,J103-45
410,432,165,J103-46
411,432,130,J103-47
412,432,94,J103-48
413,467,272,J103-49
414,467,234,J103-50
415,467,201,J103-51
416,467,165,J103-52
417,467,130,J103-53
418,467,94,J103-54
419,793,371,J105-1
420,793,336,J105-2
421,793,300,J105-3
422,793,265,J105-4
423,793,229,J105-5
424,793,194,J105-6
425,793,158,J105-7
426,793,123,J105-8
427,793,87,J105-9
428,757,371,J105-10
429,757,336,J105-11
430,757,300,J105-12
431,757,265,J105-13
432,757,229,J105-14
433,757,194,J105-15
434,757,158,J105-16
435,757,123,J105-17
436,757,87,J105-18
437,722,371,J105-19
438,722,336,J105-20
439,722,300,J105-21
440,722,265,J105-22
441,722,229,J105-23
442,722,194,J105-24
443,722,158,J105-25
444,722,123,J105-26
445,722,87,J105-27
446,686,371,J105-28
447,686,336,J105-29
448,686,300,J105-30
449,686,265,J105-31
450,686,229,J105-32
451,686,194,J105-33
452,686,158,J105-34
453,686,123,J105-35
454,686,87,J105-36
455,651,371,J105-37
456,651,336,J105-38
457,651,300,J105-39
458,651,265,J105-40
459,651,229,J105-41
460,651,194,J105-42
461,651,158,J105-43
462,651,123,J105-44
463,651,87,J105-45
464,615,371,J105-46
465,615,336,J105-47
466,615,300,J105-48
467,615,265,J105-49
468,615,229,J105-50
469,615,194,J105-51
470,615,158,J105-52
471,615,123,J105-53
472,615,87,J105-54
473,580,371,J105-55
474,580,336,J105-56
475,580,300,J105-57
476,580,265,J105-58
477,580,229,J105-59
478,580,194,J105-60
479,580,158,J105-61
480,580,123,J105-62
481,580,87,J105-63
482,544,371,J105-64
483,544,336,J105-65
484,544,300,J105-66
485,544,265,J105-67
486,544,229,J105-68
487,544,194,J105-69
488,544,158,J105-70
489,544,123,J105-71
490,544,87,J105-72
491,509,371,J105-73
492,509,336,J105-74
493,509,300,J105-75
494,509,265,J105-76
495,509,229,J105-77
496,509,194,J105-78
497,509,158,J105-79
498,509,123,J105-80
499,509,87,J105-81
500,1123,372,J106-1
501,1123,337,J106-2
502,1123,301,J106-3
503,1123,266,J106-4
504,1123,230,J106-5
505,1123,195,J106-6
506,1123,159,J106-7
507,1123,124,J106-8
508,1123,88,J106-9
509,1087,372,J106-10
510,1087,337,J106-11
511,1087,301,J106-12
512,1087,266,J106-13
513,1087,230,J106-14
514,1087,195,J106-15
515,1087,159,J106-16
516,1087,124,J106-17
517,1087,88,J106-18
518,1052,372,J106-19
519,1052,337,J106-20
520,1052,301,J106-21
521,1052,266,J106-22
522,1052,230,J106-23
523,1052,195,J106-24
524,1052,159,J106-25
525,1052,124,J106-26
526,1052,88,J106-27
527,1016,372,J106-28
528,1016,337,J106-29
529,1016,301,J106-30
530,1016,266,J106-31
531,1016,230,J106-32
532,1016,195,J106-33
533,1016,159,J106-34
534,1016,124,J106-35
535,1016,88,J106-36
536,981,372,J106-37
537,981,337,J106-38
538,981,301,J106-39
539,981,266,J106-40
540,981,230,J106-41
541,981,195,J106-42
542,981,159,J106-43
543,981,124,J106-44
544,981,88,J106-45
545,945,372,J106-46
546,945,337,J106-47
547,945,301,J106-48
548,945,266,J106-49
549,945,230,J106-50
550,945,195,J106-51
551,945,159,J106-52
552,945,124,J106-53
553,945,88,J106-54
554,910,372,J106-55
555,910,337,J106-56
556,910,301,J106-57
557,910,266,J106-58
